subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-06,ses-1,NS,Fp1,0.9001264320549626,-11.154643121211665,3
sub-06,ses-1,NS,AF3,1.075216067475278,-11.221132794624726,3
sub-06,ses-1,NS,AF7,0.8332075166308245,-11.167863345016974,3
sub-06,ses-1,NS,Fz,1.1286086936717603,-11.434033889184928,4
sub-06,ses-1,NS,F1,1.1747850817647791,-11.334897575320264,3
sub-06,ses-1,NS,F3,1.0900316915553359,-11.311834910461375,3
sub-06,ses-1,NS,F5,0.9217800323088763,-11.244398893015651,1
sub-06,ses-1,NS,F7,0.8881923687243677,-11.13013073763331,2
sub-06,ses-1,NS,FC1,1.0416880755300277,-11.886906233684147,3
sub-06,ses-1,NS,FC3,0.9085294589059302,-11.659420822596722,1
sub-06,ses-1,NS,FC5,0.888188182880524,-11.33470363170082,1
sub-06,ses-1,NS,FT7,0.8189035869182492,-11.186400604965538,2
sub-06,ses-1,NS,Cz,0.0,-12.0,0
sub-06,ses-1,NS,C1,0.950612549448518,-12.17512636788788,4
sub-06,ses-1,NS,C3,0.959743487110691,-11.70650920040807,3
sub-06,ses-1,NS,C5,0.8496344810688137,-11.409010904044067,1
sub-06,ses-1,NS,T7,0.7777591628496165,-11.165974965853307,2
sub-06,ses-1,NS,CP1,1.000989888263767,-11.577423959353776,2
sub-06,ses-1,NS,CP3,0.9686416472230838,-11.373879626076226,2
sub-06,ses-1,NS,CP5,0.9442747715574833,-11.200275605077842,3
sub-06,ses-1,NS,TP7,0.868338558051914,-11.08740206701506,4
sub-06,ses-1,NS,TP9,0.8681269593704279,-11.087126555138868,4
sub-06,ses-1,NS,Pz,0.8761506336269489,-11.267630891308865,3
sub-06,ses-1,NS,P1,0.9751751087771846,-11.205530357289,2
sub-06,ses-1,NS,P3,0.9737394357667325,-10.831398556213031,2
sub-06,ses-1,NS,P5,0.9905513966788366,-10.761412662383217,2
sub-06,ses-1,NS,P7,0.9296690915970305,-10.909842805359885,3
sub-06,ses-1,NS,PO3,0.9493120676843014,-10.626883776619055,2
sub-06,ses-1,NS,PO7,0.9708688723219039,-10.659163107692638,2
sub-06,ses-1,NS,Oz,0.5662047520369993,-10.966724176993688,1
