subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-05,ses-2,SD,Fp1,0.7353755988104401,-11.438104842026299,2
sub-05,ses-2,SD,AF3,0.8254168259445401,-11.553775712638577,4
sub-05,ses-2,SD,AF7,0.6007939261275685,-11.283365603218842,2
sub-05,ses-2,SD,Fz,1.065346037983744,-11.730047353085846,3
sub-05,ses-2,SD,F1,0.8193639395828345,-11.752366604568078,4
sub-05,ses-2,SD,F3,0.5039359042529357,-11.648562636878289,2
sub-05,ses-2,SD,F5,0.48489905491477053,-11.639814121141637,2
sub-05,ses-2,SD,F7,0.4964071338659851,-11.617118520042892,2
sub-05,ses-2,SD,FC1,0.7613070541046537,-12.29407316072857,3
sub-05,ses-2,SD,FC3,0.4664737975792112,-12.020447492261122,2
sub-05,ses-2,SD,Cz,1.057956546045677,-38.85535544453997,3
sub-05,ses-2,SD,C1,0.7544223163899025,-12.401131282491642,3
sub-05,ses-2,SD,C3,0.3758756911648914,-12.052387593794197,1
sub-05,ses-2,SD,C5,0.1647529979957127,-11.90462735458545,2
sub-05,ses-2,SD,T7,0.6129312373036194,-11.399915933479859,2
sub-05,ses-2,SD,CP1,0.9413460985955489,-12.089396593444159,4
sub-05,ses-2,SD,CP3,0.7991639120429244,-11.829312499525155,3
sub-05,ses-2,SD,CP5,0.8228609579866144,-11.476781104195659,2
sub-05,ses-2,SD,TP7,0.894943726119893,-11.314906129959487,4
sub-05,ses-2,SD,Pz,1.0492655083639637,-11.817451660722163,4
sub-05,ses-2,SD,P1,1.06226925477581,-11.649253702033528,2
sub-05,ses-2,SD,P3,1.0624060647468,-11.645897931423578,2
sub-05,ses-2,SD,P5,1.0967235072025656,-11.331449885327668,2
sub-05,ses-2,SD,P7,1.123219676740888,-11.208815793926394,3
sub-05,ses-2,SD,PO3,1.1728014044920976,-11.307295707820597,3
sub-05,ses-2,SD,PO7,1.1805410013467779,-11.119999806017736,3
sub-05,ses-2,SD,Oz,1.0948846207387541,-11.25754640801196,4
sub-05,ses-2,SD,O1,1.1227783993091487,-11.252420743832017,3
sub-05,ses-2,SD,Fpz,0.9226609775781286,-11.517662175216133,4
sub-05,ses-2,SD,Fp2,1.1141388867802011,-11.257990115650813,4
sub-05,ses-2,SD,AF4,1.0250571340344903,-11.433448449596796,4
sub-05,ses-2,SD,AF8,1.049928104751968,-10.961036668241398,3
sub-05,ses-2,SD,F2,1.047680989887481,-11.702542392527759,4
sub-05,ses-2,SD,F4,1.0732430686431482,-11.4363263072496,3
sub-05,ses-2,SD,F6,1.1109943190338534,-11.137184720994721,3
sub-05,ses-2,SD,F8,1.23130436859304,-10.872115225060458,3
sub-05,ses-2,SD,FC2,0.9951309289632408,-11.98211503139104,2
sub-05,ses-2,SD,FC4,1.0280452622558827,-11.644884452976324,2
sub-05,ses-2,SD,FC6,1.1561482354214838,-11.239604291605412,3
sub-05,ses-2,SD,FT8,1.1309215684464298,-11.00457178285006,2
sub-05,ses-2,SD,C2,0.8828437768613926,-12.32633401707784,2
sub-05,ses-2,SD,C4,0.9235387420936251,-11.70985316359462,2
sub-05,ses-2,SD,C6,1.0352077167131244,-11.37380317055414,2
sub-05,ses-2,SD,T8,0.8121479326268295,-11.21614232359246,3
sub-05,ses-2,SD,CPz,1.255365190231476,-11.87724211637935,3
sub-05,ses-2,SD,CP2,1.1395019019542971,-11.748603299929826,2
sub-05,ses-2,SD,CP4,1.0162298471017717,-11.640275796863785,3
sub-05,ses-2,SD,CP6,1.2963860854570224,-11.009001860509827,4
sub-05,ses-2,SD,TP8,1.0716498724751975,-11.302556647484685,4
sub-05,ses-2,SD,P2,0.9970444875211352,-11.769029397402873,4
sub-05,ses-2,SD,P4,1.1555748778397192,-11.285983487661722,4
sub-05,ses-2,SD,P6,1.018777724968628,-11.383806340724918,4
sub-05,ses-2,SD,P8,1.0677239612272649,-11.22939564330372,4
sub-05,ses-2,SD,POz,1.1413717710228284,-11.294432142050447,4
sub-05,ses-2,SD,PO4,1.0412050878717811,-11.347402022750794,4
sub-05,ses-2,SD,PO8,1.1293397845626316,-11.07624847061238,3
sub-05,ses-2,SD,O2,1.0574549141105358,-11.277386267974137,4
sub-07,ses-2,SD,Fp1,0.84483439582886,-11.182609052806063,3
sub-07,ses-2,SD,AF3,0.6016889390197487,-11.092157782313615,1
sub-07,ses-2,SD,AF7,0.8932587759176325,-11.255207321053836,3
sub-07,ses-2,SD,Fz,0.6642659844429754,-11.056592613403284,1
sub-07,ses-2,SD,F1,1.081869801618779,-11.429697321286362,3
sub-07,ses-2,SD,F3,1.0048689460413511,-11.440291981434516,3
sub-07,ses-2,SD,F5,0.7555172268774605,-11.35018858811969,3
sub-07,ses-2,SD,F7,0.21072664337885666,-11.390265432289713,1
sub-07,ses-2,SD,FC3,0.7193334525048602,-11.775527535442876,3
sub-07,ses-2,SD,FC5,0.7094237142364592,-11.566201178233943,3
sub-07,ses-2,SD,FT7,0.17374264612089602,-11.610988587164933,2
sub-07,ses-2,SD,Cz,1.0026502991032171,-39.40131434929354,3
sub-07,ses-2,SD,C1,1.025333250617402,-11.908205074848699,3
sub-07,ses-2,SD,C3,0.2872475474713887,-11.809553165089081,4
