subject,channel,aperiodic_exponent_NS,aperiodic_offset_NS,aperiodic_exponent_SD,aperiodic_offset_SD,ap_delta_NS,ap_delta_SD,diff_ap_delta,ap_theta_NS,ap_theta_SD,diff_ap_theta,ap_alpha_NS,ap_alpha_SD,diff_ap_alpha,ap_beta_NS,ap_beta_SD,diff_ap_beta,ap_gamma_NS,ap_gamma_SD,diff_ap_gamma,diff_exponent,diff_offset
sub-07,Fp1,1.3128347418485338,-11.089308064860798,0.84483439582886,-11.182609052806065,-11.611737533416957,-11.518802459608636,0.09293507380832011,-12.110892060777322,-11.840017994287402,0.2708740664899203,-12.402142806709332,-12.027443448634925,0.37469935807440713,-12.797345443355521,-12.281763943148068,0.5155815002074533,-13.116414237261964,-12.487090846173379,0.6293233910885849,-0.4680003460196738,-0.0933009879452662
sub-07,AF3,1.3151230493698898,-11.121975728985936,0.6016889390197487,-11.092157782313617,-11.645315806656987,-11.331593883925004,0.3137219227319825,-12.145340374261465,-11.560362782553842,0.5849775917076236,-12.437098778355825,-11.693846721333365,0.7432520570224597,-12.832990264205245,-11.874973140037547,0.9580171241676982,-13.152615203906471,-12.021206445693032,1.1314087582134391,-0.713434110350141,0.02981794667231874
sub-07,AF7,1.3253565837652883,-10.914343134008668,0.8932587759176325,-11.255207321053836,-11.441755544445769,-11.610670726088873,-0.16891518164310426,-11.945671016869822,-11.950297754450306,-0.0046267375804838196,-12.239699717773956,-12.148466096971468,0.09123362080248754,-12.63867180443805,-12.417363782412767,0.22130802202528344,-12.960783882369899,-12.634459652283697,0.32632423008620215,-0.43209780784765583,-0.3408641870451685
sub-07,Fz,1.271582724104587,-11.42488620249411,0.6642659844429754,-11.056592613403284,-11.930899842751503,-11.32093062501306,0.6099692177384419,-12.414369889222334,-11.573492019784908,0.8408778694374259,-12.696468926598696,-11.72085859784626,0.9756103287524365,-13.079253468522294,-11.920822584262858,1.1584308842594364,-13.388296452531876,-12.082264492930559,1.3060319596013166,-0.6073167396616116,0.36829358909082544
sub-07,F1,1.2218324648578087,-11.438731592496044,1.081869801618779,-11.429697321286362,-11.924947614157338,-11.860216599524554,0.06473101463278397,-12.389502052784477,-12.27155566016832,0.11794639261615814,-12.660564057353852,-12.511567122905142,0.14899693444871076,-13.02837227895211,-12.837242384595434,0.19112989435667593,-13.325324057032718,-13.10017791011349,0.22514614691922752,-0.13996266323902962,0.009034271209682032
sub-07,F3,0.9898845326359418,-11.3794218600248,1.0048689460413511,-11.440291981434516,-11.773336519526262,-11.840169538536472,-0.06683301901020933,-12.149701746830887,-12.222232008268287,-0.07253026143740016,-12.369306392660743,-12.445160927475868,-0.07585453481512516,-12.667291329227982,-12.747656621945564,-0.08036529271758219,-12.907870934464565,-12.991878009776908,-0.08400707531234275,0.014984413405409347,-0.060870121409715594
sub-07,F5,1.0485952976314397,-11.234362755025336,0.7555172268774605,-11.35018858811969,-11.65164077685825,-11.65083911993518,0.0008016569230697712,-12.05032849702365,-11.938095262900768,0.11223323412288089,-12.282958052656776,-12.10570581499715,0.1772522376596264,-12.598616690556039,-12.333139162528134,0.2654775280279047,-12.853465245554007,-12.516758595097313,0.33670665045669423,-0.2930780707539792,-0.11582583309435357
sub-07,F7,1.2082365889228053,-11.00035801150974,0.2107266433788566,-11.390265432289713,-11.481163690183553,-11.474121994583324,0.007041695600229048,-11.940548823939288,-11.554242633324119,0.38630619061516924,-12.208594600432544,-11.60099207566857,0.6076025247639745,-12.57231005555704,-11.664427116211192,0.9078829393458481,-12.865957518480222,-11.715641708424203,1.1503158100560196,-0.9975099455439487,-0.38990742077997353
sub-07,FC3,1.2234082598077378,-11.541925586026336,0.7193334525048602,-11.775527535442876,-12.028768679543669,-12.061779095770747,-0.033010416227078565,-12.493922253125405,-12.335277760952316,0.15864449217308874,-12.765333845834073,-12.494860987947737,0.270472857886336,-13.133616428979275,-12.711401934036232,0.4222144949430433,-13.430951185189643,-12.886227332687788,0.5447238525018552,-0.5040748073028776,-0.23360194941654022
sub-07,FC5,1.1936604168658165,-11.278629060896286,0.7094237142364592,-11.566201178233944,-11.753634297535337,-11.84850925722935,-0.09487495969401394,-12.207477406813883,-12.118240128518854,0.08923727829502859,-12.472289477762102,-12.275624892470404,0.19666458529169795,-12.831617067875484,-12.48918271009093,0.3424343577845548,-13.121721966384621,-12.661599665290742,0.46012230109387886,-0.48423670262935725,-0.28757211733765864
sub-07,FT7,1.22060835473929,-10.944188717356267,0.173742646120896,-11.610988587164933,-11.429917616626382,-11.680127737268984,-0.2502101206426026,-11.894006634825368,-11.746186644488871,0.1478199903364974,-12.164797072095558,-11.784731233285829,0.38006583880972933,-12.532236799830144,-11.83703298129425,0.6952038185358944,-12.82889107257617,-11.879259054981066,0.9496320175951034,-1.0468657086183941,-0.6667998698086652
sub-07,Cz,1.304169235283628,-39.03400269199919,1.0026502991032171,-39.40131434929354,-39.55298380879776,-39.8003090180137,-0.24732520921593704,-40.04884361314703,-40.18152793323824,-0.1326843200912151,-40.33817192728282,-40.40396464839676,-0.06579272111393664,-40.73076598652535,-40.70579246358829,0.02497352293706001,-41.04772873262538,-40.94947463579707,0.09825409682831321,-0.3015189361804109,-0.36731165729435133
sub-07,C1,1.1230660135226576,-12.201217059750558,1.025333250617402,-11.9082050748487,-12.648129958911035,-12.316226197491117,0.33190376141991784,-13.075132282436588,-12.706069425876558,0.3690628565600296,-13.324283073273216,-12.933538325466102,0.39074474780711377,-13.662359630454306,-13.242194389453594,0.42016524100071173,-13.935307402926748,-13.491389381936823,0.4439180209899245,-0.09773276290525557,0.29301198490185776
sub-07,C3,1.2122010322890449,-11.619587081788485,0.2872475474713887,-11.80955316508908,-12.10197037108984,-11.923860456620865,0.1781099144689744,-12.56286283078055,-12.033075203323575,0.5297876274569742,-12.83178811407753,-12.096800712560468,0.7349874015170617,-13.196696985571375,-12.18327084053027,1.0134261450411053,-13.491307959074415,-12.25308292395764,1.2382250351167752,-0.9249534848176562,-0.18996608330059495
sub-07,CP1,1.2195802022608306,-11.754982281241718,1.0950509406413815,-11.748152741399217,-12.240302037505638,-12.183917322214372,0.05638471529126576,-12.70400014057412,-12.600268000093093,0.10373214048102675,-12.974562483502549,-12.843203682040599,0.13135880146194978,-13.341692706501004,-13.172846861953712,0.1688458445472918,-13.638097099074912,-13.438985905779285,0.19911119329562688,-0.1245292616194491,0.00682953984250112
sub-07,CP3,1.192485466239455,-11.591817947606264,1.1002521138667274,-11.690135186130853,-12.066355624382872,-12.127969521864406,-0.0616138974815339,-12.519752004224818,-12.546297744273494,-0.02654574004867527,-12.78430341384572,-12.79038729999758,-0.00608388615185973,-13.143277308577144,-13.121596189064167,0.021681119512976466,-13.433096649378747,-13.388999315881307,0.04409733349744016,-0.09223335237272767,-0.09831723852458829
sub-07,CP5,1.237716289840165,-11.34351625371417,0.6827457422734087,-11.67650768085675,-11.836053084826688,-11.948199527457827,-0.11214644263113982,-12.3066467322735,-12.207787133900911,0.09885959837258795,-12.581232543554336,-12.35925342313016,0.22197912042417656,-12.95382227291816,-12.564780370966325,0.38904190195183475,-13.254634424828154,-12.730713563917329,0.5239208609108257,-0.5549705475667563,-0.3329914271425789
sub-07,TP7,1.127803059051538,-11.014133841667586,0.3761945426487393,-11.41467104211424,-11.462931800766906,-11.564373901678252,-0.10144210091134553,-11.891735202255038,-11.70740729586386,0.1843279063911787,-12.141936900719124,-11.79086558476298,0.35107131595614405,-12.481439450695234,-11.904111426305342,0.5773280243898924,-12.755538505469554,-11.995541013877125,0.7599974915924292,-0.7516085164027987,-0.400537200446653
sub-07,TP9,1.1208113919970009,-11.014672217872624,0.8753988697169492,-11.042904007446689,-11.460687912923628,-11.391260241253343,0.06942767167028485,-11.886833003999323,-11.72409673250136,0.16273627149796255,-12.135483609869624,-11.918302877163638,0.2171807327059856,-12.472881458342624,-12.181824195118786,0.29105726322383774,-12.745281271998943,-12.39457942823698,0.35070184376196245,-0.24541252228005161,-0.028231789574064692
sub-07,Pz,1.3044632079023657,-11.372590054734262,1.205954734174313,-11.299472925786889,-11.891688154999283,-11.7793705631623,0.11231759183698387,-12.387659731042946,-12.237888110090704,0.14977162095224195,-12.677053262636628,-12.505427659961201,0.1716256026754266,-13.0697358164553,-12.868456208360653,0.20127960809464618,-13.386770009086955,-13.161549093758376,0.22522091532857935,-0.0985084737280526,0.07311712894737354
sub-07,P1,1.206668258103217,-11.446473784394517,1.1637298874645965,-11.158234010166284,-11.926655361488383,-11.621328691675854,0.3053266698125281,-12.385444198235788,-12.063791877205677,0.3216523210301112,-12.653142042497734,-12.32196389763088,0.33117814486685404,-13.016385383002408,-12.672281500608394,0.34410388239401435,-13.309651681863505,-12.955112141655711,0.354539540207794,-0.042938370638620604,0.28823977422823255
sub-07,P3,1.1402613583122692,-11.344852291077911,1.064080710523759,-11.143380782508096,-11.798607905893086,-11.56682106968167,0.23178683621141616,-12.232148092812755,-11.971396517911275,0.26075157490148015,-12.48511364939018,-12.207461493031856,0.2776521563583252,-12.828366521138728,-12.527781704706948,0.3005848164317797,-13.105493416655326,-12.786393804237369,0.3190996124179577,-0.07618064778851008,0.20147150856981533
sub-07,P5,1.1548463444035817,-11.261347122970855,0.3972260109079231,-11.245086463905274,-11.720906687277688,-11.403158586130731,0.3177481011469574,-12.159992249869482,-11.55418838097818,0.6058038688913019,-12.416193467374438,-11.642312474813197,0.7738809925612404,-12.763836857422811,-11.76188941915443,1.001947438268381,-13.04450845949916,-11.858430453732932,1.1860780057662268,-0.7576203334956586,0.016260659065581606
sub-07,P7,1.2323401195746015,-11.08374316905123,1.2799301112495345,-10.955728519072943,-11.574140606921647,-11.465063918643185,0.10907668827846173,-12.042690173996135,-11.951707735545444,0.0909824384506912,-12.316083288625832,-12.235658630322478,0.08042465830335388,-12.687054629477924,-12.620955986162125,0.06609864331579907,-12.98656016745717,-12.932027702855043,0.05453246460212746,0.04758999167493294,0.1280146499782866
